respondent,action_type,penalty_gbp,date,url
Barclays Bank plc,AML/Disclosure failures,40000000,2022-11-22,https://www.fca.org.uk/news/press-releases/fca-fines-barclays-bank-plc-ps40-million-failure-disclose-arrangements-with-qatari-entities
Citigroup Global Markets Limited,Market abuse controls,12553800,2024-05-22,https://www.fca.org.uk/news/press-releases/fca-fines-citigroup-global-markets-limited-failures-trade-monitoring
JPMorgan Chase Bank N.A.,Market abuse controls,32400000,2013-09-19,https://www.fca.org.uk/news/press-releases/fca-fines-jpmorgan-chase-bank-na-322-million-serious-failings-relating-chief-investment-office
HSBC Bank plc,AML/Financial crime,63946800,2021-12-17,https://www.fca.org.uk/news/press-releases/fca-fines-hsbc-bank-plc-639-million-deficient-transaction-monitoring-controls
Goldman Sachs International,1MDB-related controls,96644400,2020-10-22,https://www.fca.org.uk/news/press-releases/fca-fines-goldman-sachs-international-96-million-risk-management-failures
Standard Chartered Bank,Financial sanctions/AML,102163200,2019-04-09,https://www.fca.org.uk/news/press-releases/fca-fines-standard-chartered-bank-102-million-poor-aml-controls
Tesco Personal Finance plc,Cyber resilience,16400000,2018-10-01,https://www.fca.org.uk/news/press-releases/fca-fines-tesco-bank-16-4m-failures-2016-cyber-attack
Santander UK plc,AML,107793300,2022-12-09,https://www.fca.org.uk/news/press-releases/fca-fines-santander-uk-107793300-repeated-anti-money-laundering-failures
NatWest Group plc,AML,264772619,2021-12-13,https://www.fca.org.uk/news/press-releases/natwest-fined-264-million-anti-money-laundering-failures
Deutsche Bank AG,Anti-money-laundering,163076224,2017-01-31,https://www.fca.org.uk/news/press-releases/fca-fines-deutsche-bank-163-million-anti-money-laundering-controls-failure
