respondent,action_type,outcome,penalty_gbp,date,url
Meta Platforms Inc.,Merger investigation,Divestment ordered (Giphy),0,2021-11-30,https://www.gov.uk/cma-cases/facebook-inc-slash-giphy-inc-merger-inquiry
Microsoft Corporation,Merger investigation,Cleared with remedies (Activision),0,2023-10-13,https://www.gov.uk/cma-cases/microsoft-slash-activision-blizzard-merger-inquiry
Amazon.com Inc.,Market investigation,Commitments accepted (Marketplace),0,2023-11-03,https://www.gov.uk/cma-cases/investigation-into-amazon-s-marketplace
Google LLC,Market investigation,Commitments accepted (Privacy Sandbox),0,2022-02-11,https://www.gov.uk/cma-cases/investigation-into-google-s-privacy-sandbox-browser-changes
Apple Inc.,Market investigation,Mobile browsers and cloud gaming reference,0,2023-11-22,https://www.gov.uk/cma-cases/mobile-browsers-and-cloud-gaming
Pfizer Inc.,Cartel/Price abuse,Fine (phenytoin),84200000,2016-12-07,https://www.gov.uk/cma-cases/pharmaceutical-sector-anti-competitive-agreement-and-conduct
Flynn Pharma Ltd,Cartel/Price abuse,Fine (phenytoin),5200000,2016-12-07,https://www.gov.uk/cma-cases/pharmaceutical-sector-anti-competitive-agreement-and-conduct
Sainsbury's Supermarkets Ltd,Cartel,Fine (replica football kit),1850000,2003-08-01,https://www.gov.uk/cma-cases/replica-football-kit-price-fixing
JD Sports Fashion plc,Cartel,Fine (Rangers replica kit),1485000,2022-04-13,https://www.gov.uk/cma-cases/suspected-anti-competitive-conduct-in-the-supply-of-rangers-fc-football-shop
Allergan plc,Cartel/Price abuse,Fine (hydrocortisone),155600000,2021-07-15,https://www.gov.uk/cma-cases/hydrocortisone-tablets-investigation
Dr Martens Airwair International Ltd,Resale price maintenance,Fine,1380000,2010-03-26,https://www.gov.uk/cma-cases/online-resale-price-maintenance-in-the-light-fittings-sector
Auto Trader Holdings Ltd,Information exchange,No infringement,0,2019-05-15,https://www.gov.uk/cma-cases/private-motor-insurance-market-investigation
